logical_id,anatomy,status,reason,reference_shape,candidate_shape,reference_dtype,candidate_dtype,reference_intensity,candidate_intensity,geometry_reconciliation,valid_overlap_fraction,alignment_sanity_pearson_16px,edge_recall,gradient_energy_retention,informative_tile_count,lost_informative_tile_fraction,low_percentile_tile_retention,informative_extreme_fraction
I-3-4,Kepala,COMPARABLE,,"[3000, 4096]","[3056, 4066]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 955.0, 'p99': 65535.0}","{'min': 0, 'max': 64764, 'p01': 0.0, 'median': 0.0, 'p99': 60292.0}","candidate crop rows [28:3028], then integer pad columns left=15, right=15; no resize/interpolation/warp",0.99267578125,0.9630177929150754,0.13383689120151884,0.10403711803094899,462,0.8073593073593074,0.0,0.21337658298923654
I-3-4,Tulang Belakang,COMPARABLE,,"[3000, 4096]","[3056, 4066]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 44248.0, 'p99': 65535.0}","{'min': 0, 'max': 65055, 'p01': 0.0, 'median': 31362.0, 'p99': 62466.0}","candidate crop rows [28:3028], then integer pad columns left=15, right=15; no resize/interpolation/warp",0.99267578125,0.9604833055325079,0.5028355189172441,0.35205846610448843,389,0.8508997429305912,0.0,0.04899627474804595
I-3-5,Kepala,NON-COMPARABLE,ambiguous or missing matched identity,,,,,,,,,,,,,,,
I-3-5,Tulang Belakang,NON-COMPARABLE,ambiguous or missing matched identity,,,,,,,,,,,,,,,
I-3-6,Kepala,NON-COMPARABLE,ambiguous or missing matched identity,,,,,,,,,,,,,,,
I-3-6,Tulang Belakang,NON-COMPARABLE,ambiguous or missing matched identity,,,,,,,,,,,,,,,
I-4-1,Kepala,COMPARABLE,,"[3000, 4096]","[3028, 4136]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 2005.0, 'p99': 65535.0}","{'min': 0, 'max': 64764, 'p01': 0.0, 'median': 0.0, 'p99': 60211.0}","candidate crop rows [14:3014], cols [20:4116]; no resize/interpolation/warp",1.0,0.9482151470980688,0.1614423268849771,0.12824228147327568,490,0.8816326530612245,0.0,0.30042840523497416
I-4-1,Tulang Belakang,COMPARABLE,,"[3000, 4096]","[3028, 4136]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 44416.0, 'p99': 65535.0}","{'min': 0, 'max': 65066, 'p01': 0.0, 'median': 33242.0, 'p99': 62732.0}","candidate crop rows [14:3014], cols [20:4116]; no resize/interpolation/warp",1.0,0.9574315601650513,0.5751610480399804,0.3125244884494744,611,0.8985270049099836,0.0,0.059163089763172035
I-4-2,Kepala,COMPARABLE,,"[3000, 4096]","[3056, 4066]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 1941.0, 'p99': 65535.0}","{'min': 0, 'max': 64764, 'p01': 0.0, 'median': 0.0, 'p99': 60649.0}","candidate crop rows [28:3028], then integer pad columns left=15, right=15; no resize/interpolation/warp",0.99267578125,0.9671979000070681,0.16053434455469537,0.11438740935453372,403,0.8238213399503722,0.0,0.27536559888014084
I-4-2,Tulang Belakang,COMPARABLE,,"[3000, 4096]","[3056, 4066]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 20485.0, 'p99': 65535.0}","{'min': 0, 'max': 64635, 'p01': 0.0, 'median': 11887.0, 'p99': 62455.0}","candidate crop rows [28:3028], then integer pad columns left=15, right=15; no resize/interpolation/warp",0.99267578125,0.9665348321149083,0.4371985814287204,0.23555451418858853,372,0.9435483870967742,0.0,0.04385491148961557
I-5-1,Kepala,COMPARABLE,,"[3000, 4096]","[3028, 4136]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 2502.0, 'p99': 65535.0}","{'min': 0, 'max': 64764, 'p01': 0.0, 'median': 0.0, 'p99': 60839.0}","candidate crop rows [14:3014], cols [20:4116]; no resize/interpolation/warp",1.0,0.9643756930208826,0.18036559258557394,0.12356714118195535,502,0.9143426294820717,0.0,0.31494519498911483
I-5-1,Tulang Belakang,COMPARABLE,,"[3000, 4096]","[3028, 4136]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 48823.0, 'p99': 65535.0}","{'min': 0, 'max': 65128, 'p01': 0.0, 'median': 36899.0, 'p99': 62718.0}","candidate crop rows [14:3014], cols [20:4116]; no resize/interpolation/warp",1.0,0.9439698359100226,0.595745590443867,0.34435546436673636,678,0.8613569321533924,0.0,0.04836781839868401
I-5-2,Kepala,COMPARABLE,,"[3000, 4096]","[3056, 4066]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 2130.0, 'p99': 65535.0}","{'min': 0, 'max': 64764, 'p01': 0.0, 'median': 0.0, 'p99': 60691.0}","candidate crop rows [28:3028], then integer pad columns left=15, right=15; no resize/interpolation/warp",0.99267578125,0.9552040539772612,0.17278135099267855,0.12640591928377296,402,0.818407960199005,0.0,0.25206294112633937
I-5-2,Tulang Belakang,COMPARABLE,,"[3000, 4096]","[3056, 4066]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 34979.0, 'p99': 65535.0}","{'min': 0, 'max': 64732, 'p01': 0.0, 'median': 24635.0, 'p99': 62868.0}","candidate crop rows [28:3028], then integer pad columns left=15, right=15; no resize/interpolation/warp",0.99267578125,0.9646022837867824,0.4932532392162346,0.2616017182047974,365,0.8684931506849315,0.0,0.05768585004112016
I-6-1,Kepala,COMPARABLE,,"[3000, 4096]","[3028, 4136]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 2530.0, 'p99': 65535.0}","{'min': 0, 'max': 64764, 'p01': 0.0, 'median': 0.0, 'p99': 60945.0}","candidate crop rows [14:3014], cols [20:4116]; no resize/interpolation/warp",1.0,0.9651241218121546,0.1739666194814664,0.1257479744891316,494,0.7793522267206477,0.0,0.36404169906639167
I-6-1,Tulang Belakang,COMPARABLE,,"[3000, 4096]","[3028, 4136]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 41885.0, 'p99': 65535.0}","{'min': 0, 'max': 64873, 'p01': 0.0, 'median': 0.0, 'p99': 59635.0}","candidate crop rows [14:3014], cols [20:4116]; no resize/interpolation/warp",1.0,0.6513264833424223,0.2946854454373194,0.37690757388088153,928,0.8383620689655172,0.0,0.5708204295811925
I-6-2,Kepala,COMPARABLE,,"[3000, 4096]","[3056, 4066]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 2039.0, 'p99': 65535.0}","{'min': 0, 'max': 64764, 'p01': 0.0, 'median': 0.0, 'p99': 60786.0}","candidate crop rows [28:3028], then integer pad columns left=15, right=15; no resize/interpolation/warp",0.99267578125,0.9666148477339832,0.16739403750246434,0.11974863492545887,428,0.8621495327102804,0.0,0.27391710475203135
I-6-2,Tulang Belakang,COMPARABLE,,"[3000, 4096]","[3056, 4066]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 38264.0, 'p99': 65535.0}","{'min': 0, 'max': 65021, 'p01': 0.0, 'median': 27924.0, 'p99': 63225.0}","candidate crop rows [28:3028], then integer pad columns left=15, right=15; no resize/interpolation/warp",0.99267578125,0.9567090335329759,0.503815019779415,0.30383450989954175,517,0.8259187620889749,0.0,0.04737937942719154
I-6-3,Kepala,COMPARABLE,,"[3000, 4096]","[3056, 4066]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 1854.0, 'p99': 65535.0}","{'min': 0, 'max': 64764, 'p01': 0.0, 'median': 0.0, 'p99': 60560.0}","candidate crop rows [28:3028], then integer pad columns left=15, right=15; no resize/interpolation/warp",0.99267578125,0.9651182519864465,0.14901291191653931,0.10803735791758261,422,0.919431279620853,0.0,0.2904403728082974
I-6-3,Tulang Belakang,COMPARABLE,,"[3000, 4096]","[3056, 4066]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 47914.0, 'p99': 65535.0}","{'min': 0, 'max': 65083, 'p01': 0.0, 'median': 36171.0, 'p99': 62908.0}","candidate crop rows [28:3028], then integer pad columns left=15, right=15; no resize/interpolation/warp",0.99267578125,0.943513322314204,0.5889129895655586,0.3489486534346998,433,0.8752886836027713,0.0,0.053630280853536653
I-6-4,Kepala,COMPARABLE,,"[3000, 4096]","[3056, 4066]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 1511.0, 'p99': 65535.0}","{'min': 0, 'max': 64764, 'p01': 0.0, 'median': 0.0, 'p99': 60918.0}","candidate crop rows [28:3028], then integer pad columns left=15, right=15; no resize/interpolation/warp",0.99267578125,0.9675304001607611,0.16130932007893786,0.11495847416934854,408,0.9264705882352942,0.0,0.244756910535449
I-6-4,Tulang Belakang,COMPARABLE,,"[3000, 4096]","[3056, 4066]",uint16,uint16,"{'min': 0, 'max': 65535, 'p01': 0.0, 'median': 46587.0, 'p99': 65535.0}","{'min': 0, 'max': 65063, 'p01': 0.0, 'median': 30454.0, 'p99': 62330.0}","candidate crop rows [28:3028], then integer pad columns left=15, right=15; no resize/interpolation/warp",0.99267578125,0.9385420788943476,0.5342437032768458,0.36365162078146934,411,0.8564476885644768,0.0,0.07305634908329042
I-6-5,Kepala,NON-COMPARABLE,ambiguous or missing matched identity,,,,,,,,,,,,,,,
I-6-5,Tulang Belakang,NON-COMPARABLE,ambiguous or missing matched identity,,,,,,,,,,,,,,,
I-6-6,Kepala,NON-COMPARABLE,ambiguous or missing matched identity,,,,,,,,,,,,,,,
I-6-6,Tulang Belakang,NON-COMPARABLE,ambiguous or missing matched identity,,,,,,,,,,,,,,,
