x,y,diameter
3440.87,2371.93,30.51
3593.79,2368.63,30.84
3744.5,2366.5,31.4
3899.33,2363.24,31.45
4055.23,2363.82,31.84
1495.34,2376.87,31.8
1660.36,2380.92,31.71
1824.13,2384.16,31.96
1989.0,2387.0,31.62
2157.5,2390.0,32.02
2322.25,2390.19,31.99
2488.77,2391.0,32.53
2651.36,2389.64,31.53
2814.5,2385.5,31.78
2974.5,2384.5,31.91
3131.54,2379.9,31.54
3286.88,2376.25,31.08
121.55,2471.99,30.41
274.96,2476.64,29.33
423.5,2479.64,29.71
569.81,2487.43,29.84
719.1,2497.7,29.64
869.91,2505.44,30.6
1024.92,2511.51,30.73
1178.54,2519.95,30.81
3742.83,2522.88,31.49
3897.59,2520.46,31.59
4054.77,2522.69,31.87
1337.82,2528.76,31.05
1497.62,2534.73,31.4
1662.17,2539.17,31.77
1824.69,2542.69,31.5
1987.87,2546.84,31.96
2155.48,2548.32,31.67
2318.58,2549.11,31.45
2483.5,2549.5,31.78
2645.35,2547.57,31.45
2809.0,2545.0,31.62
2967.93,2541.86,31.31
3125.5,2537.0,31.06
3281.21,2532.79,30.74
3437.12,2528.88,30.32
3588.65,2525.1,30.93
121.1,2628.17,30.86
276.12,2631.12,29.41
425.5,2634.5,29.15
573.62,2641.67,29.81
723.86,2651.61,29.22
875.02,2660.21,30.15
1029.76,2666.11,30.11
1183.49,2674.08,30.73
1342.5,2683.0,30.81
1500.74,2689.51,31.31
1664.0,2694.5,31.32
1824.61,2698.88,31.31
1987.5,2702.0,31.38
2153.0,2704.0,31.05
2315.38,2704.75,31.43
2479.81,2705.0,30.97
2641.0,2703.5,31.76
2803.38,2701.08,31.1
2962.12,2698.35,31.0
3119.0,2694.62,30.76
3275.38,2690.78,30.57
3430.81,2686.81,30.27
3584.5,2683.0,30.81
3738.06,2680.52,30.68
3894.85,2680.96,31.36
4056.0,2683.5,33.54
119.47,2783.94,31.19
275.64,2786.69,29.55
426.05,2788.93,30.14
576.05,2795.7,29.2
728.42,2805.04,29.44
879.66,2812.75,29.69
1034.07,2819.3,29.43
1188.22,2827.22,30.62
1345.77,2835.63,30.58
1503.5,2842.5,30.89
1665.66,2846.69,31.34
1826.24,2850.77,30.68
1987.0,2854.0,31.05
2151.4,2855.56,31.22
2312.5,2857.5,31.15
2474.2,2858.33,30.54
2636.26,2857.31,30.71
2795.78,2855.19,31.09
2955.22,2851.78,30.62
3112.98,2847.83,30.26
3270.4,2845.25,29.93
3424.94,2841.21,30.41
3580.5,2838.5,29.83
3734.56,2836.87,32.2
3895.65,2838.58,32.2
4059.34,2843.92,31.87
112.81,2943.5,30.59
274.38,2943.09,27.88
427.52,2943.39,28.5
579.0,2949.34,28.5
732.28,2956.5,28.32
884.01,2964.45,28.26
1039.0,2969.5,29.41
1191.43,2977.48,29.29
1349.1,2986.74,29.17
1506.62,2993.07,29.82
1668.0,2997.61,30.13
1827.5,2998.0,29.07
1986.0,2999.0,26.0
2150.0,2998.5,24.02
2310.0,2999.0,18.0
2470.0,2998.5,20.03
